Timestamp,CWND,SSTHRESH,Event
1767350862424,18.66,2,CongestionAvoidance
1767350862441,18.72,2,CongestionAvoidance
1767350862457,18.77,2,CongestionAvoidance
1767350862474,18.82,2,CongestionAvoidance
1767350862491,18.88,2,CongestionAvoidance
1767350862506,18.93,2,CongestionAvoidance
1767350862523,18.98,2,CongestionAvoidance
1767350862541,19.03,2,CongestionAvoidance
1767350862557,19.09,2,CongestionAvoidance
1767350862573,19.14,2,CongestionAvoidance
1767350862591,19.19,2,CongestionAvoidance
1767350862608,19.24,2,CongestionAvoidance
1767350862622,19.30,2,CongestionAvoidance
1767350862640,19.35,2,CongestionAvoidance
1767350862656,19.40,2,CongestionAvoidance
1767350862672,19.45,2,CongestionAvoidance
1767350862689,19.50,2,CongestionAvoidance
1767350862706,19.55,2,CongestionAvoidance
1767350862721,19.60,2,CongestionAvoidance
1767350862731,19.66,2,CongestionAvoidance
1767350862756,19.71,2,CongestionAvoidance
1767350862771,19.76,2,CongestionAvoidance
1767350862789,19.81,2,CongestionAvoidance
1767350862806,19.86,2,CongestionAvoidance
1767350862821,19.91,2,CongestionAvoidance
1767350862841,19.96,2,CongestionAvoidance
1767350862856,20.01,2,CongestionAvoidance
1767350862873,20.06,2,CongestionAvoidance
1767350862889,20.11,2,CongestionAvoidance
1767350862906,20.16,2,CongestionAvoidance
1767350862923,20.21,2,CongestionAvoidance
1767350862939,20.26,2,CongestionAvoidance
1767350862958,20.31,2,CongestionAvoidance
1767350862975,20.36,2,CongestionAvoidance
1767350862992,20.41,2,CongestionAvoidance
1767350863007,20.45,2,CongestionAvoidance
1767350863022,20.50,2,CongestionAvoidance
1767350863041,20.55,2,CongestionAvoidance
1767350863056,20.60,2,CongestionAvoidance
1767350863071,20.65,2,CongestionAvoidance
1767350863089,20.70,2,CongestionAvoidance
1767350863106,20.75,2,CongestionAvoidance
1767350863123,20.79,2,CongestionAvoidance
1767350863141,20.84,2,CongestionAvoidance
1767350863157,20.89,2,CongestionAvoidance
1767350863173,20.94,2,CongestionAvoidance
1767350863188,20.99,2,CongestionAvoidance
1767350863203,21.03,2,CongestionAvoidance
1767350863218,21.08,2,CongestionAvoidance
1767350863230,21.13,2,CongestionAvoidance
1767350863256,21.18,2,CongestionAvoidance
1767350863271,21.22,2,CongestionAvoidance
1767350863290,21.27,2,CongestionAvoidance
1767350863306,21.32,2,CongestionAvoidance
1767350863323,21.36,2,CongestionAvoidance
1767350863339,21.41,2,CongestionAvoidance
1767350863356,21.46,2,CongestionAvoidance
1767350863373,21.50,2,CongestionAvoidance
1767350863391,21.55,2,CongestionAvoidance
1767350863406,21.60,2,CongestionAvoidance
1767350863424,21.64,2,CongestionAvoidance
1767350863446,21.69,2,CongestionAvoidance
1767350863459,21.74,2,CongestionAvoidance
1767350863474,21.78,2,CongestionAvoidance
1767350863490,21.83,2,CongestionAvoidance
1767350863506,21.87,2,CongestionAvoidance
1767350863523,21.92,2,CongestionAvoidance
1767350863538,21.97,2,CongestionAvoidance
1767350863553,22.01,2,CongestionAvoidance
1767350863568,22.06,2,CongestionAvoidance
1767350863579,22.10,2,CongestionAvoidance
1767350863613,22.15,2,CongestionAvoidance
1767350863629,22.19,2,CongestionAvoidance
1767350863659,22.24,2,CongestionAvoidance
1767350863675,22.28,2,CongestionAvoidance
1767350863689,22.33,2,CongestionAvoidance
1767350863708,22.37,2,CongestionAvoidance
1767350863724,22.42,2,CongestionAvoidance
1767350863738,22.46,2,CongestionAvoidance
1767350863756,22.51,2,CongestionAvoidance
1767350863771,22.55,2,CongestionAvoidance
1767350863791,22.59,2,CongestionAvoidance
1767350863807,22.64,2,CongestionAvoidance
1767350863824,22.68,2,CongestionAvoidance
1767350863841,22.73,2,CongestionAvoidance
1767350863856,22.77,2,CongestionAvoidance
1767350863873,22.81,2,CongestionAvoidance
1767350863888,22.86,2,CongestionAvoidance
1767350863904,22.90,2,CongestionAvoidance
1767350863925,22.95,2,CongestionAvoidance
1767350863944,22.99,2,CongestionAvoidance
1767350863959,23.03,2,CongestionAvoidance
1767350863974,23.08,2,CongestionAvoidance
1767350863989,23.12,2,CongestionAvoidance
1767350864007,23.16,2,CongestionAvoidance
1767350864023,23.21,2,CongestionAvoidance
1767350864042,23.25,2,CongestionAvoidance
1767350864056,23.29,2,CongestionAvoidance
1767350864074,23.34,2,CongestionAvoidance
1767350864089,23.38,2,CongestionAvoidance
1767350864112,23.42,2,CongestionAvoidance
1767350864130,23.46,2,CongestionAvoidance
1767350864141,23.51,2,CongestionAvoidance
1767350864158,23.55,2,CongestionAvoidance
1767350864173,23.59,2,CongestionAvoidance
1767350864190,23.63,2,CongestionAvoidance
1767350864207,23.68,2,CongestionAvoidance
1767350864223,23.72,2,CongestionAvoidance
1767350864240,23.76,2,CongestionAvoidance
1767350864258,23.80,2,CongestionAvoidance
1767350864273,23.84,2,CongestionAvoidance
1767350864291,23.89,2,CongestionAvoidance
1767350864307,23.93,2,CongestionAvoidance
1767350864324,23.97,2,CongestionAvoidance
1767350864339,24.01,2,CongestionAvoidance
1767350864359,24.05,2,CongestionAvoidance
1767350864373,24.09,2,CongestionAvoidance
1767350864390,24.14,2,CongestionAvoidance
1767350864406,24.18,2,CongestionAvoidance
1767350864425,24.22,2,CongestionAvoidance
1767350864446,24.26,2,CongestionAvoidance
1767350864456,24.30,2,CongestionAvoidance
1767350864472,24.34,2,CongestionAvoidance
1767350864490,24.38,2,CongestionAvoidance
1767350864506,24.42,2,CongestionAvoidance
1767350864523,24.47,2,CongestionAvoidance
1767350864541,24.51,2,CongestionAvoidance
1767350864557,24.55,2,CongestionAvoidance
1767350864573,24.59,2,CongestionAvoidance
1767350864589,24.63,2,CongestionAvoidance
1767350864607,24.67,2,CongestionAvoidance
1767350864623,24.71,2,CongestionAvoidance
1767350864639,24.75,2,CongestionAvoidance
1767350864654,24.79,2,CongestionAvoidance
1767350864671,24.83,2,CongestionAvoidance
1767350864692,24.87,2,CongestionAvoidance
1767350864707,24.91,2,CongestionAvoidance
1767350864722,24.95,2,CongestionAvoidance
1767350864740,24.99,2,CongestionAvoidance
1767350864758,25.03,2,CongestionAvoidance
1767350864780,25.07,2,CongestionAvoidance
1767350864809,25.11,2,CongestionAvoidance
1767350864822,25.15,2,CongestionAvoidance
1767350864840,25.19,2,CongestionAvoidance
1767350864856,25.23,2,CongestionAvoidance
1767350864874,25.27,2,CongestionAvoidance
1767350864890,25.31,2,CongestionAvoidance
1767350864906,25.35,2,CongestionAvoidance
1767350864922,25.39,2,CongestionAvoidance
1767350864937,25.43,2,CongestionAvoidance
1767350864954,25.47,2,CongestionAvoidance
1767350864974,25.51,2,CongestionAvoidance
1767350864990,25.55,2,CongestionAvoidance
1767350865007,25.59,2,CongestionAvoidance
1767350865022,25.62,2,CongestionAvoidance
1767350865039,25.66,2,CongestionAvoidance
1767350865057,25.70,2,CongestionAvoidance
1767350865073,25.74,2,CongestionAvoidance
1767350865088,25.78,2,CongestionAvoidance
1767350865105,25.82,2,CongestionAvoidance
1767350865125,25.86,2,CongestionAvoidance
1767350865140,25.90,2,CongestionAvoidance
1767350865158,25.94,2,CongestionAvoidance
1767350865174,25.97,2,CongestionAvoidance
1767350865192,26.01,2,CongestionAvoidance
1767350865207,26.05,2,CongestionAvoidance
1767350865223,26.09,2,CongestionAvoidance
1767350865239,26.13,2,CongestionAvoidance
1767350865258,26.17,2,CongestionAvoidance
1767350865274,26.20,2,CongestionAvoidance
